card_id,backend_strategy
1,consumers/overview/pcc_panel.py
2,consumers/overview/pcc_panel.py
3,
4,consumers/overview/pcc_panel.py
5,consumers/real_time_monitoring/pcc_panel.py
6,
7,consumers/real_time_monitoring/pcc_panel.py
8,consumers/real_time_monitoring/pcc_panel.py
9,consumers/real_time_monitoring/pcc_panel.py
10,consumers/real_time_monitoring/pcc_panel.py
11,consumers/real_time_monitoring/pcc_panel.py
12,consumers/energy_distribution/pcc_panel.py
13,consumers/energy_distribution/pcc_panel.py
14,consumers/energy_power/pcc_panel.py
15,consumers/energy_power/pcc_panel.py
16,consumers/energy_power/pcc_panel.py
17,consumers/energy_power/pcc_panel.py
18,consumers/voltage_current/pcc_panel.py
19,
20,consumers/voltage_current/pcc_panel.py
21,consumers/voltage_current/pcc_panel.py
22,consumers/voltage_current/pcc_panel.py
23,consumers/power_quality_summary/pcc_panel.py
24,consumers/power_quality_summary/pcc_panel.py
25,
26,consumers/power_quality_summary/pcc_panel.py
27,consumers/power_quality_summary/pcc_panel.py
28,consumers/overview/lt_panel.py
29,consumers/overview/lt_panel.py
30,consumers/overview/lt_panel.py
31,consumers/power_quality_summary/lt_panel.py
32,consumers/overview/lt_panel.py
33,consumers/real_time_monitoring/transformer.py
34,consumers/overview/lt_panel.py
35,consumers/demand_profile/lt_panel.py
36,consumers/real_time_monitoring/lt_panel.py
37,consumers/real_time_monitoring/lt_panel.py
38,consumers/real_time_monitoring/lt_panel.py
39,consumers/energy_power/lt_panel.py
40,consumers/energy_power/lt_panel.py
41,consumers/energy_power/lt_panel.py
42,consumers/load_anomalies/__init__.py
43,consumers/voltage_current/lt_panel.py
44,consumers/voltage_history/lt_panel.py
45,consumers/voltage_current/lt_panel.py
46,consumers/current_history/lt_panel.py
47,consumers/power_quality_summary/lt_panel.py
48,consumers/distortion_harmonics/lt_panel.py
49,consumers/distortion_harmonics/lt_panel.py
50,consumers/ups/battery_autonomy.py
51,assets/consumers/ups/battery_autonomy.py
52,consumers/overview/ups.py
53,consumers/overview/ups.py
54,""
55,""
56,""
57,assets/consumers/ups/output_capacity.py
58,assets/consumers/ups/output_capacity.py
59,assets/consumers/ups/output_capacity.py
60,""
61,""
62,""
63,""
64,""
65,""
66,consumers/voltage_current/lt_panel.py
67,consumers/voltage_history/lt_panel.py
68,consumers/voltage_current/lt_panel.py
69,consumers/current_history/lt_panel.py
70,""
71,""
72,""
73,""
74,""
75,assets/consumers/lt_transformer/thermal.py
76,""
77,""
78,""
79,""
80,""
81,""
82,""
83,""
84,""
85,""
86,""
87,""
88,""
89,assets/consumers/overview/dg.py
90,consumers/overview/transformer.py
91,consumers/real_time_monitoring/transformer.py
92,consumers/real_time_monitoring/transformer.py
93,consumers/energy_power_history/ (+ overview/transformer.py)
94,
95,consumers/energy_distribution/pcc_panel.py
96,consumers/power_quality_summary/transformer.py
97,consumers/voltage_current/transformer.py
98,
99,
100,""
101,""
102,""
103,
104,
105,""
106,
107,""
108,
109,
110,
111,
112,
113,""
114,
115,
116,
117,
118,
119,
120,
121,
122,
123,
124,
125,
126,
127,
128,
129,
130,
131,
132,
133,
134,
135,
136,
137,
138,
139,
140,
141,
160,
161,consumers/overview/pcc_panel.py
175,
176,consumers/overview/transformer.py
